Truncation;F1;Accuracy;Precision;Recall;Loss
5;0.8071783781051636;0.8089790940284729;0.8054254055023193;0.8089790940284729;0.3961847424507141
10;0.8289856910705566;0.8246006965637207;0.83364337682724;0.8246006965637207;0.32837235927581787
15;0.8049267530441284;0.8244225978851318;0.7902791500091553;0.8244225978851318;0.3782583475112915
20;0.8242179155349731;0.8454462289810181;0.8082836866378784;0.8454462289810181;0.3271021246910095
25;0.8485373854637146;0.8620501160621643;0.8371095657348633;0.8620501160621643;0.2646753489971161
30;0.8780416250228882;0.8799392580986023;0.8761844038963318;0.8799392580986023;0.22637538611888885
35;0.8900646567344666;0.8939828872680664;0.8863095045089722;0.8939828872680664;0.20279350876808167
40;0.8996983170509338;0.8993642330169678;0.9000335931777954;0.8993642330169678;0.1805264800786972
45;0.9166853427886963;0.9111196398735046;0.9225726127624512;0.9111196398735046;0.1592305451631546
50;0.9123931527137756;0.910670280456543;0.9141465425491333;0.910670280456543;0.1628500521183014
55;0.9197685122489929;0.9187160730361938;0.9208320379257202;0.9187160730361938;0.16327999532222748
60;0.9197685122489929;0.9187160730361938;0.9208320379257202;0.9187160730361938;0.16232354938983917
65;0.9190005660057068;0.9214537143707275;0.9166063666343689;0.9214537143707275;0.15771496295928955
70;0.9240809679031372;0.926918625831604;0.9213207960128784;0.926918625831604;0.1521337479352951
75;0.9258793592453003;0.93086838722229;0.9211255311965942;0.93086838722229;0.14739900827407837
80;0.9283095598220825;0.9351211190223694;0.9219288229942322;0.9351211190223694;0.1434503048658371
85;0.9280761480331421;0.9334492683410645;0.9229735136032104;0.9334492683410645;0.14375172555446625
90;0.9281931519508362;0.9342851638793945;0.9224472641944885;0.9342851638793945;0.14120329916477203
95;0.9295003414154053;0.9348912239074707;0.9243806600570679;0.9348912239074707;0.13962191343307495
100;0.9302693605422974;0.9360302090644836;0.9248167276382446;0.9360302090644836;0.13742852210998535
