Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.7042659146817064;0.1885636487406398;0.0880400546713279
Medium;0.6089078218435632;0.0625;0.2370035648287669
Unknown;0.1091578168436631;-0.4025157232704403;-0.705799352754849
Unknown;0.1555568888622227;0.7708333333333334;0.7262570893294181
Control;0.1624767504649907;-0.1737089201877934;-0.483820149841529
Medium;0.0382792344153117;0.66;0.970925304231917
Medium;0.1367972640547189;-0.2580645161290322;-0.5336748510622881
Unknown;0.8991820163596728;0.0246913580246913;-0.0714116684092035
Control;0.0309193816123677;-0.4444444444444444;-0.5522647370379961
Control;0.3561128777424451;-0.1625615763546798;-0.3979482442933805
Unknown;0.2112357752844943;0.3230769230769231;0.4354333305446585
High;0.8961820763584728;0.0961538461538461;-0.1004251188017308
Unknown;0.7131457370852583;-0.1289308176100629;-0.1465045028120597
Low;0.4026319473610528;-0.2355555555555555;-0.4226195125259796
Unknown;0.0025999480010399;0.7901234567901234;1.2408784735326115
Unknown;0.0005599888002239;-0.8125;-1.7015040970668152
Unknown;0.1456370872582548;0.3405797101449275;0.6712879691550337
Unknown;0.1467970640587188;0.3777777777777777;0.689823823555351
Unknown;0.1109977800443991;0.3333333333333333;0.6478817150974312
Unknown;0.0062798744025119;0.6054421768707483;1.2294307466429562
Unknown;0.0813983720325593;0.3756613756613756;0.7171978315952987
Unknown;0.8932221355572888;0.0261904761904761;0.0424755031848925
Low;0.630867382652347;0.0818713450292397;0.1594043084904591
Control;0.745945081098378;0.0432098765432098;-0.1907675259306362
Unknown;0.114397712045759;-0.4964539007092198;-0.691300509614423
Unknown;0.4107517849643007;-0.2898550724637681;-0.3624248309460526
Unknown;7.999840003199936e-05;0.7777777777777778;1.8595699601747704
Unknown;0.0022799544009119;0.7777777777777778;1.7120684048369816
Unknown;0.2958340833183336;0.2564102564102564;0.4510731880802122
Unknown;0.0090798184036319;0.654320987654321;1.338455754444694
Medium;0.4304313913721725;-0.1822222222222222;-0.2721817166138191
Low;0.0001199976000479;-0.8295454545454546;-0.7985859099240803
Unknown;0.0121597568048639;0.5087719298245614;1.017854629541993
Unknown;0.0221195576088478;-0.4841269841269841;-0.8463873697841963
Unknown;0.0067598648027039;-0.6122448979591837;-0.8982030349522582
Unknown;0.0538789224215515;-0.3267326732673267;-0.5846143707435595
Unknown;0.4425511489770204;0.2373113854595336;0.2564196554710379
Control;0.0054798904021919;-0.4888888888888889;-0.6419621539827103
Control;0.0916381672366552;0.3851851851851852;1.1375489654795048
Medium;0.4858702825943481;-0.109375;-0.2900234475629654
Unknown;0.0831983360332793;0.4311111111111111;0.827656643027084
Unknown;0.0250394992100158;0.5203252032520326;0.982433755014098
Unknown;0.7939041219175617;0.0222222222222222;-0.1183521021482593
Control;0.6445071098578028;0.2777777777777778;0.1691599276500291
Unknown;0.3111537769244615;0.2641509433962264;0.4419106087500325
Unknown;0.3414331713365732;-0.3550724637681159;-0.4152418021089494
High;0.0428391432171356;-0.5377777777777778;-0.6848319541511574
Unknown;0.0724385512289754;0.365079365079365;0.7663155395651877
Control;0.367912641747165;0.0918367346938775;-0.3989268326000759
Control;7.999840003199936e-05;-0.8233766233766234;-0.8648664195523535
High;0.0049599008019839;0.4236111111111111;1.603155041664281
Unknown;0.872022559548809;0.0434782608695652;0.0731594265732514
Unknown;0.0005999880002399;0.7986111111111112;1.564939730681649
