Truncation;F1_macro;Accuracy;Precision_macro;Recall_macro;Loss;F1_class_Apoptosis;Precision_class_Apoptosis;Recall_class_Apoptosis;F1_class_Mitosis;Precision_class_Mitosis;Recall_class_Mitosis
5;0.8114503622055054;0.8146957755088806;0.836326003074646;0.8146957755088806;0.5667392611503601;0.7877358198165894;0.9226519465446472;0.6872428059577942;0.8351648449897766;0.75;0.942148745059967
10;0.8150267004966736;0.8188450336456299;0.8456221222877502;0.8188450336456299;0.5277172923088074;0.7894737124443054;0.9428571462631226;0.6790123581886292;0.8405796885490417;0.7483870983123779;0.9586777091026306
15;0.831195592880249;0.8332058191299438;0.8483095169067383;0.8332058191299438;0.47028905153274536;0.8137931227684021;0.921875;0.7283950448036194;0.8485981225967407;0.7747440338134766;0.9380165338516235
20;0.8631209135055542;0.8640785217285156;0.8729965090751648;0.8640785217285156;0.35342690348625183;0.8526785969734192;0.9317073225975037;0.7860082387924194;0.8735632300376892;0.8142856955528259;0.942148745059967
25;0.8842757940292358;0.8846375942230225;0.888282299041748;0.8846375942230225;0.3064151704311371;0.8787878751754761;0.9269406199455261;0.8353909254074097;0.8897637724876404;0.8496240377426147;0.93388432264328
30;0.8945423364639282;0.8949596881866455;0.8997315168380737;0.8949596881866455;0.29161182045936584;0.8888888955116272;0.9444444179534912;0.8395061492919922;0.9001957178115845;0.8550186157226562;0.9504132270812988
35;0.9009091854095459;0.9011070728302002;0.903205156326294;0.9011070728302002;0.2629724442958832;0.8974359035491943;0.9333333373069763;0.8641975522041321;0.9043824672698975;0.8730769157409668;0.9380165338516235
40;0.9029276967048645;0.9031816720962524;0.9060819149017334;0.9031816720962524;0.24806904792785645;0.898924708366394;0.9414414167404175;0.8600823283195496;0.906930685043335;0.8707224130630493;0.9462810158729553
45;0.9215531349182129;0.9217256903648376;0.9239315986633301;0.9217256903648376;0.21449014544487;0.9188033938407898;0.9555555582046509;0.8847736716270447;0.9243028163909912;0.892307698726654;0.9586777091026306
50;0.9154121279716492;0.9155188202857971;0.9166240692138672;0.9155188202857971;0.22081421315670013;0.9133192300796509;0.939130425453186;0.8888888955116272;0.9175050258636475;0.8941176533699036;0.942148745059967
55;0.9298608303070068;0.9299476146697998;0.9309148788452148;0.9299476146697998;0.21321138739585876;0.9282700419425964;0.9523809552192688;0.9053497910499573;0.9314516186714172;0.9094488024711609;0.9545454382896423
60;0.9319298267364502;0.9320052266120911;0.9328148365020752;0.9320052266120911;0.21378697454929352;0.9305263161659241;0.9525862336158752;0.9094650149345398;0.9333333373069763;0.9130434989929199;0.9545454382896423
65;0.9381314516067505;0.9381780624389648;0.9385957717895508;0.9381780624389648;0.18427442014217377;0.9372385144233704;0.9531915187835693;0.9218106865882874;0.9390243887901306;0.9240000247955322;0.9545454382896423
70;0.94431471824646;0.9443678855895996;0.9449126720428467;0.9443678855895996;0.16791673004627228;0.9433962106704712;0.9615384340286255;0.9259259104728699;0.9452332854270935;0.9282868504524231;0.9628099203109741
75;0.9505102038383484;0.9505407810211182;0.9507707357406616;0.9505407810211182;0.154295414686203;0.949999988079071;0.9620253443717957;0.9382715821266174;0.9510204195976257;0.9395161271095276;0.9628099203109741
80;0.9546374082565308;0.9546560049057007;0.9547487497329712;0.9546560049057007;0.14615954458713531;0.954356849193573;0.9623430967330933;0.9465020298957825;0.9549180269241333;0.9471544623374939;0.9628099203109741
85;0.9546374082565308;0.9546560049057007;0.9547487497329712;0.9546560049057007;0.14319147169589996;0.954356849193573;0.9623430967330933;0.9465020298957825;0.9549180269241333;0.9471544623374939;0.9628099203109741
90;0.956700325012207;0.9567136168479919;0.9567601680755615;0.9567136168479919;0.14027780294418335;0.95652174949646;0.9624999761581421;0.9506173133850098;0.9568788409233093;0.9510204195976257;0.9628099203109741
95;0.9587613344192505;0.9587796926498413;0.9588733911514282;0.9587796926498413;0.136235773563385;0.9585062265396118;0.9665272235870361;0.9506173133850098;0.9590163826942444;0.9512194991111755;0.9669421315193176
100;0.956700325012207;0.9567136168479919;0.9567601680755615;0.9567136168479919;0.13178753852844238;0.95652174949646;0.9624999761581421;0.9506173133850098;0.9568788409233093;0.9510204195976257;0.9628099203109741
